"OBJECTID","FNAME","CLASS","DESCRIPTIO","COORD_X","COORD_Y","admin1Name","admin1Pcod","admin2Name","admin2Pcod","admin0Name","admin0Pcod","rowcacode0","Pcod1_iso3","Pcod2_iso3","coords.x1","coords.x2","optional"
"219","Andersonville",0,NA,-7.75319,4.69328,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.75318999999996,4.69328000000007,TRUE
"220","Newaken(Wortaken City",0,NA,-7.93574,4.69401,"Grand Kru","LR07","Trenbo","LR0716","Liberia","LR","LBR","LBR007","LBR007016",-7.93573999999995,4.69401000000005,TRUE
"221","Gbuken (Small Suehn)",0,NA,-8.16194,4.69743,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.16193999999996,4.69743000000005,TRUE
"222","Deneken",0,NA,-8.04289,4.69763,"Grand Kru","LR07","Grand Cess Wedabo","LR0712","Liberia","LR","LBR","LBR007","LBR007012",-8.04288999999994,4.69763000000006,TRUE
"223","Gbamaken # 1",0,NA,-7.72836,4.69965,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.72835999999995,4.69965000000008,TRUE
"224","Jlakroken Farina Town",0,NA,-8.084,4.70109,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.08399999999995,4.70109000000002,TRUE
"225","Suehn Topoe & Gbalakp",0,NA,-8.15732,4.70385,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.15731999999997,4.70385000000005,TRUE
"226","Suehn-Topoe & Gballah",0,NA,-8.15732,4.70385,"Grand Kru","LR07","Barclayville","LR0701","Liberia","LR","LBR","LBR007","LBR007001",-8.15731999999997,4.70385000000005,TRUE
"227","Johnsonville",0,NA,-7.59061,4.70395,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.59060999999997,4.70395000000002,TRUE
"228","Gbamaken # 2",0,NA,-7.72881,4.70438,"Maryland","LR10","Karluway#2","LR1004","Liberia","LR","LBR","LBR010","LBR010004",-7.72880999999995,4.70438000000007,TRUE
