"ad2","psu","hh","id","d1","d2","d3","d4","d5","f1","f2a","f2b","f2c","f2d","f2e","f2f","f2g","f2h","f2i","f2j","f2k","f2l","f2m","f2n","f2o","f2p","f2q","f2r","f2s","f3","f4","f5","f6","f7","a1","a2","a3","a4","a5","a6","a7","a8","k6a","k6b","k6c","k6d","k6e","k6f","ds1","ds2","ds3","ds4","ds5","ds6a","ds6b","ds6c","h1","h2","h3","h4","h5","h6","m1","m2a","m2b","m2c","m2d","m2e","m2f","m2g","m2h","m2i","w1","w2","w3","w4","as1","as2","as3","as4","va2a","va2b","va2c","va2d","wg1","wg2","wg3","wg4","wg5","wg6"
1,204,2,1,2,90,2,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,1,1,1,2,2,2,2,1,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,293,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA
1,204,3,1,2,92,1,5,2,2,2,9,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,247,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
1,204,4,1,1,61,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,236,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
1,204,5,1,1,67,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,3,5,5,5,3,5,1,1,1,1,1,1,1,1,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,267,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
1,204,6,1,1,75,1,2,2,4,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,0,0,0,2,2,2,2,2,2,1,2,2,1,4,3,4,3,2,2,1,1,1,2,1,1,2,1,1,1,NA,1,1,NA,1,1,1,2,2,2,2,2,2,2,1,1,1,2,375,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
1,204,7,1,1,91,2,5,2,3,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,0,0,0,2,2,2,2,2,2,2,2,1,2,4,3,5,4,3,4,1,1,1,1,1,2,2,2,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,1,2,1,2,2,2,288,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
1,204,8,1,1,90,2,5,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,5,5,4,5,4,5,2,2,1,2,2,2,2,2,2,NA,NA,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,269,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
1,204,9,1,1,64,2,5,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,1,2,2,1,2,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,NA,NA,2,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,342,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA
1,204,10,1,2,80,2,5,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,1,2,2,1,2,3,4,3,4,3,4,1,1,1,1,1,2,2,2,2,NA,NA,2,NA,NA,1,2,2,2,2,2,2,2,1,2,2,1,2,2,311,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
1,204,11,1,1,80,2,5,1,3,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,1,1,1,2,1,2,2,2,2,2,NA,NA,2,NA,NA,1,1,2,2,2,2,2,2,2,2,1,2,2,2,244,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA
2,205,1,2,1,65,2,2,2,4,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,1,1,1,1,2,1,2,1,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,380,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA
2,205,1,1,1,65,2,5,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,341,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,2,1,1,78,2,5,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,229,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,3,1,1,68,2,3,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,1,2,1,1,1,4,3,4,1,4,1,2,1,2,2,2,2,2,1,2,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,252,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA
2,205,4,1,1,60,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,4,1,5,3,1,1,1,1,1,1,1,1,1,1,1,2,9,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,294,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,5,1,1,61,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,2,5,5,3,3,5,1,1,1,1,1,2,2,1,2,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,247,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,6,1,2,80,2,5,2,4,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,5,5,5,5,5,5,1,1,1,2,1,2,2,2,2,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,263,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA
2,205,7,1,1,60,2,5,2,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,5,5,5,5,5,5,1,1,1,1,1,2,2,1,1,1,NA,1,1,NA,1,2,2,2,2,2,2,2,1,2,2,2,2,2,232,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,7,2,1,61,2,5,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,3,4,4,4,4,4,1,1,1,1,1,1,1,1,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,2,2,2,1,2,2,310,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,8,1,1,75,2,5,2,3,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,1,2,1,2,4,4,4,4,4,4,1,1,1,1,1,2,1,1,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,1,2,1,2,2,2,257,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,205,9,1,1,102,1,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,1,2,1,1,2,1,3,1,2,3,2,1,1,1,2,2,2,2,1,2,9,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,247,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
2,205,10,1,1,70,2,4,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,2,1,1,1,NA,2,NA,NA,1,1,2,2,2,2,2,2,1,2,1,2,2,1,231,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
3,206,1,1,1,64,1,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,NA,NA,2,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,262,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
3,206,1,2,2,72,2,3,2,4,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,305,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
3,206,2,1,1,83,2,5,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,1,1,3,4,3,3,4,4,1,1,1,1,1,1,2,2,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,244,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
3,206,3,1,1,67,2,4,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,1,2,2,1,1,3,4,4,4,2,3,1,1,1,2,1,2,2,2,1,1,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,227,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
3,206,3,2,1,80,1,2,2,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,1,1,1,1,2,1,2,2,2,1,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,261,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
